Tone,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
1,300,300,300,300,300,300,300,300,300,330
1,273.35,291.57,291.57,291.57,291.57,291.57,273.35,18.223,18.223,18.223
1,270,292.5,270,292.5,292.5,270,247.5,292.5,225,270
1,298.26,276.96,276.96,276.96,276.96,234.35,276.96,276.96,21.304,21.304
1,287.61,287.61,287.61,287.61,287.61,287.61,287.61,263.64,23.967,23.967
1,25.64,307.67,307.67,307.67,307.67,307.67,307.67,307.67,307.67,282.03
1,21.724,304.14,304.14,304.14,21.724,21.724,21.724,21.724,21.724,0
1,300.16,300.16,277.07,277.07,253.98,253.98,230.89,300.16,207.8,207.8
1,298.26,298.26,298.26,276.96,255.65,234.35,255.65,234.35,255.65,234.35
1,282.99,282.99,282.99,282.99,282.99,282.99,259.41,259.41,282.99,282.99
1,43.448,304.14,282.41,282.41,260.69,238.97,21.724,21.724,21.724,21.724
1,313.14,339.23,339.23,339.23,260.95,234.85,313.14,26.095,339.23,287.04
1,325.86,325.86,304.14,282.41,260.69,238.97,260.69,304.14,282.41,21.724
1,27.391,246.52,246.52,246.52,246.52,246.52,219.13,246.52,301.3,27.391
1,46.915,258.03,258.03,281.49,281.49,304.95,304.95,281.49,23.457,23.457
1,283.68,283.68,309.47,283.68,283.68,257.89,283.68,283.68,309.47,25.789
1,259.41,281.03,281.03,281.03,324.26,302.65,302.65,324.26,237.79,21.618
1,24.231,339.23,315,315,339.23,339.23,290.77,290.77,266.54,24.231
1,0,0,0,304.14,304.14,282.41,282.41,325.86,325.86,21.724
1,23.71,23.71,0,331.94,308.23,284.52,308.23,331.94,284.52,23.71
1,67.5,22.5,22.5,315,315,292.5,292.5,270,22.5,22.5
1,16.095,16.095,16.095,16.095,289.71,321.9,305.8,16.095,289.71,16.095
1,19.427,19.427,19.427,19.427,291.41,271.98,310.84,310.84,291.41,19.427
1,18.299,18.299,0,0,274.48,274.48,256.18,274.48,18.299,18.299
1,18.927,18.927,18.927,18.927,302.83,18.927,18.927,18.927,18.927,18.927
1,18.299,18.299,18.299,0,18.299,311.08,292.78,292.78,311.08,18.299
1,26.25,288.75,288.75,288.75,288.75,288.75,262.5,288.75,26.25,26.25
1,27.055,297.61,297.61,297.61,297.61,270.55,243.5,243.5,297.61,297.61
1,294,294,294,273,273,273,252,273,21,21
1,304.95,281.49,281.49,281.49,281.49,258.03,258.03,281.49,281.49,234.57
1,21,273,273,273,21,294,21,273,0,0
1,24.637,271.01,271.01,24.637,344.92,24.637,320.28,344.92,24.637,24.637
1,313.28,313.28,289.18,289.18,265.08,289.18,240.98,216.89,216.89,216.89
1,310.25,288.09,332.41,265.93,243.77,265.93,265.93,221.61,221.61,22.161
1,263.64,287.61,311.58,311.58,311.58,287.61,287.61,263.64,263.64,23.967
1,23.457,304.95,304.95,23.457,23.457,328.4,328.4,23.457,23.457,328.4
1,260.81,260.81,237.1,308.23,308.23,308.23,308.23,23.71,23.71,23.71
1,274.07,323.9,323.9,249.15,24.915,24.915,24.915,24.915,24.915,24.915
1,304.14,278.79,253.45,253.45,278.79,253.45,278.79,304.14,329.48,25.345
